time,x_diff,y_diff,theta_diff,x_ackermann,y_ackermann,theta_ackermann
7.700000,7.520049,1.286874,0.042343,7.520049,1.286874,0.042343
7.710000,7.530040,1.287297,0.040883,7.530040,1.287297,0.040883
7.720000,7.540031,1.287706,0.039423,7.540031,1.287706,0.039423
7.730000,7.550024,1.288100,0.037963,7.550024,1.288100,0.037963
7.740000,7.560016,1.288480,0.036503,7.560016,1.288480,0.036503
7.750000,7.570010,1.288845,0.035043,7.570010,1.288845,0.035043
7.760000,7.580003,1.289195,0.033583,7.580003,1.289195,0.033583
7.770000,7.589998,1.289531,0.032123,7.589998,1.289531,0.032123
7.780000,7.599993,1.289852,0.030662,7.599993,1.289852,0.030662
7.790000,7.609988,1.290158,0.029202,7.609988,1.290158,0.029202
7.800000,7.619984,1.290450,0.027742,7.619984,1.290450,0.027742
7.810000,7.629980,1.290728,0.026282,7.629980,1.290728,0.026282
7.820000,7.639976,1.290991,0.024822,7.639976,1.290991,0.024822
7.830000,7.649973,1.291239,0.023362,7.649973,1.291239,0.023362
7.840000,7.659971,1.291472,0.021902,7.659971,1.291472,0.021902
7.850000,7.669968,1.291691,0.020442,7.669968,1.291691,0.020442
7.860000,7.679966,1.291896,0.018981,7.679966,1.291896,0.018981
7.870000,7.689964,1.292086,0.017521,7.689964,1.292086,0.017521
7.880000,7.699963,1.292261,0.016061,7.699963,1.292261,0.016061
7.890000,7.709962,1.292421,0.014601,7.709962,1.292421,0.014601
7.900000,7.719960,1.292567,0.013141,7.719960,1.292567,0.013141
7.910000,7.729960,1.292699,0.011681,7.729960,1.292699,0.011681
7.920000,7.739959,1.292816,0.010221,7.739959,1.292816,0.010221
7.930000,7.749958,1.292918,0.008761,7.749958,1.292918,0.008761
7.940000,7.759958,1.293005,0.007301,7.759958,1.293005,0.007301
7.950000,7.769958,1.293078,0.005840,7.769958,1.293078,0.005840
7.960000,7.779958,1.293137,0.004380,7.779958,1.293137,0.004380
7.970000,7.789957,1.293181,0.002920,7.789957,1.293181,0.002920
7.980000,7.799957,1.293210,0.001460,7.799957,1.293210,0.001460
7.990000,7.809957,1.293224,0.000000,7.809957,1.293224,0.000000
8.000000,7.819957,1.293224,0.000000,7.819957,1.293224,0.000000
8.010000,7.829957,1.293224,0.000000,7.829957,1.293224,0.000000
8.020000,7.839957,1.293224,0.000000,7.839957,1.293224,0.000000
8.030000,7.849957,1.293224,0.000000,7.849957,1.293224,0.000000
8.040000,7.859957,1.293224,0.000000,7.859957,1.293224,0.000000
8.050000,7.869957,1.293224,0.000000,7.869957,1.293224,0.000000
8.060000,7.879957,1.293224,0.000000,7.879957,1.293224,0.000000
8.070000,7.889957,1.293224,0.000000,7.889957,1.293224,0.000000
8.080000,7.899957,1.293224,0.000000,7.899957,1.293224,0.000000
8.090000,7.909957,1.293224,0.000000,7.909957,1.293224,0.000000
8.100000,7.919957,1.293224,0.000000,7.919957,1.293224,0.000000
